V(Au),sV(Au),V(MgO),sV(MgO),V(Ne),sV(Ne)
6.14753900e+01,1.22350000e-01,6.69367000e+01,3.13600000e-02,       nan,       nan
6.13937300e+01,1.09220000e-01,6.67838900e+01,2.00700000e-02,       nan,       nan
6.12331600e+01,1.40850000e-01,6.65883500e+01,8.69200000e-02,       nan,       nan
6.07520000e+01,9.51900000e-02,6.60557100e+01,1.10000000e-01,       nan,       nan
6.20000000e+01,1.10000000e-01,6.74620000e+01,8.00000000e-02,       nan,       nan
6.22035700e+01,7.31300000e-02,6.77809800e+01,6.00000000e-02,       nan,       nan
6.02723900e+01,7.17700000e-02,6.52004000e+01,3.00000000e-02,       nan,       nan
6.09081600e+01,5.23500000e-02,6.61753900e+01,1.30000000e-01,       nan,       nan
6.08017800e+01,1.40000000e-01,6.60469000e+01,7.36500000e-02,       nan,       nan
5.74676500e+01,3.42700000e-02,6.17492700e+01,6.85600000e-02,3.20040000e+01,1.70000000e-02
5.69017700e+01,4.92500000e-02,6.09246000e+01,7.00100000e-02,3.13200000e+01,8.00000000e-03
5.65327500e+01,3.75300000e-02,6.05164400e+01,4.71400000e-02,3.08870000e+01,5.40000000e-02
5.63518000e+01,5.95200000e-02,6.03314300e+01,6.24000000e-02,3.07290000e+01,4.30000000e-02
5.60043400e+01,7.66700000e-02,5.99761900e+01,5.97700000e-02,3.04780000e+01,3.50000000e-02
5.51000000e+01,8.37600000e-02,5.87357600e+01,7.04300000e-02,2.95470000e+01,1.60000000e-02
5.57460000e+01,7.29700000e-02,5.93842200e+01,7.47700000e-02,2.99880000e+01,1.30000000e-02
5.55241200e+01,4.14200000e-02,5.91103700e+01,8.73600000e-02,2.98720000e+01,4.20000000e-02
5.53800000e+01,4.85900000e-02,5.89115900e+01,4.57900000e-02,2.95800000e+01,3.10000000e-02
5.45000000e+01,6.81400000e-02,5.77658600e+01,9.42900000e-02,2.86570000e+01,2.90000000e-02
5.47500000e+01,6.55700000e-02,5.83116900e+01,6.87300000e-02,2.91920000e+01,1.40000000e-02
5.50200000e+01,5.04300000e-02,5.84839900e+01,6.94400000e-02,2.91760000e+01,1.33000000e-01
5.19345800e+01,6.62300000e-02,5.45151700e+01,6.64200000e-02,2.63280000e+01,5.10000000e-02
5.17973700e+01,5.75300000e-02,5.42517600e+01,2.43900000e-02,2.61180000e+01,2.40000000e-02
5.06798700e+01,5.20800000e-02,5.28571900e+01,1.88200000e-02,2.52670000e+01,8.70000000e-02
5.05267400e+01,5.18400000e-02,5.26824700e+01,6.22700000e-02,2.50990000e+01,9.80000000e-02
5.04368500e+01,5.33300000e-02,5.25671600e+01,4.89700000e-02,2.50370000e+01,5.30000000e-02
5.03800000e+01,5.62900000e-02,5.23602500e+01,2.87600000e-02,2.49100000e+01,5.50000000e-02
5.00509900e+01,5.26700000e-02,5.19552500e+01,1.05100000e-02,2.46550000e+01,7.50000000e-02
