V(Pt),sV(Pt),V(MgO),sV(MgO),V(Ne),sV(Ne)
5.71655600e+01,1.49670000e-01,6.82615200e+01,1.74160000e-01,       nan,       nan
5.69608400e+01,4.71800000e-02,6.78958500e+01,6.39900000e-02,       nan,       nan
5.65916300e+01,6.69000000e-02,6.72808400e+01,1.08210000e-01,       nan,       nan
5.61132400e+01,4.01100000e-02,6.62503900e+01,1.58330000e-01,       nan,       nan
5.62105100e+01,7.50500000e-02,6.64921400e+01,1.29750000e-01,       nan,       nan
5.53453100e+01,8.07300000e-02,6.48419600e+01,5.11700000e-02,       nan,       nan
5.67008300e+01,7.38700000e-02,6.72903900e+01,9.00000000e-02,       nan,       nan
5.63147500e+01,1.17590000e-01,6.66886900e+01,3.50000000e-02,       nan,       nan
5.59540300e+01,4.21900000e-02,6.60986100e+01,7.16900000e-02,       nan,       nan
5.60745400e+01,3.57000000e-02,6.62640400e+01,7.73900000e-02,       nan,       nan
5.62487900e+01,2.60300000e-02,6.64258300e+01,7.24500000e-02,       nan,       nan
5.63490800e+01,4.53200000e-02,6.68072800e+01,1.01280000e-01,       nan,       nan
5.44845400e+01,4.83900000e-02,6.33196700e+01,1.23600000e-02,3.38980000e+01,8.90000000e-02
5.41329100e+01,7.67700000e-02,6.25919000e+01,2.49100000e-02,3.30070000e+01,3.90000000e-02
5.39278400e+01,2.00000000e-02,6.22912700e+01,4.12200000e-02,3.28080000e+01,4.00000000e-02
5.41753200e+01,5.15400000e-02,6.25685300e+01,1.52500000e-02,3.29770000e+01,3.40000000e-02
5.39157700e+01,7.00000000e-02,6.22667800e+01,1.62800000e-02,3.26320000e+01,1.12000000e-01
5.39660100e+01,4.76000000e-02,6.23374800e+01,6.64800000e-02,3.25730000e+01,3.60000000e-02
5.40584500e+01,6.11800000e-02,6.25143700e+01,5.28800000e-02,3.29570000e+01,6.10000000e-02
5.39401400e+01,1.09860000e-01,6.22974300e+01,1.60200000e-02,3.26810000e+01,3.90000000e-02
5.39290500e+01,5.71200000e-02,6.22750700e+01,1.33400000e-02,3.25210000e+01,7.90000000e-02
5.36437300e+01,1.46800000e-02,6.18125800e+01,6.86300000e-02,3.22500000e+01,9.40000000e-02
5.38504700e+01,2.74000000e-02,6.20821500e+01,3.62100000e-02,3.25100000e+01,5.10000000e-02
5.37552100e+01,5.37900000e-02,6.18964600e+01,4.51000000e-02,3.22690000e+01,4.00000000e-03
5.36083400e+01,8.05100000e-02,6.16836200e+01,3.55000000e-03,3.20070000e+01,3.80000000e-02
5.28729600e+01,4.83400000e-02,6.04619300e+01,2.63900000e-02,3.09760000e+01,3.20000000e-02
5.23000000e+01,1.98000000e-02,5.96870700e+01,4.82000000e-02,3.03350000e+01,4.30000000e-02
5.25325900e+01,2.96200000e-02,5.98931600e+01,4.28800000e-02,3.05690000e+01,4.10000000e-02
5.18200000e+01,2.82500000e-02,5.88556000e+01,3.60700000e-02,2.96330000e+01,4.00000000e-03
5.18277700e+01,6.57000000e-02,5.87557500e+01,4.23000000e-02,2.95930000e+01,6.70000000e-02
5.17282500e+01,2.36100000e-02,5.86151100e+01,3.47200000e-02,2.94520000e+01,8.00000000e-03
5.31474200e+01,8.99000000e-02,6.10706100e+01,4.27000000e-02,3.13310000e+01,4.80000000e-02
5.32474700e+01,5.06800000e-02,6.10258800e+01,1.34900000e-02,3.13490000e+01,3.30000000e-02
5.03749600e+01,6.20900000e-02,5.63045500e+01,4.19000000e-02,2.76720000e+01,1.70000000e-02
4.96100000e+01,4.56500000e-02,5.52211500e+01,5.11600000e-02,2.67450000e+01,1.00000000e-02
4.92000000e+01,6.38300000e-02,5.45648600e+01,6.28500000e-02,2.63920000e+01,1.70000000e-02
4.83485000e+01,2.51600000e-02,5.31342300e+01,2.86400000e-02,2.54410000e+01,1.75000000e-01
4.80120700e+01,4.80100000e-02,5.25293600e+01,7.58300000e-02,2.50460000e+01,1.51000000e-01
4.71724600e+01,3.78200000e-02,5.12771900e+01,4.82100000e-02,2.42020000e+01,1.11000000e-01
